greedy_ans,strict_ans,greedy_value,greedy_value2,strict_value,strict_value2,kinjiritu,random_seed
1-18-15,1-15-18,11.93000,11.93000,11.93000,11.93000,1.00000,0.00000
1-18-15,1-15-18,12.27000,12.27000,12.27000,12.27000,1.00000,1.00000
1-18-11,1-11-18,11.77000,11.77000,11.77000,11.77000,1.00000,2.00000
1-18-16,1-16-18,11.89000,11.89000,11.89000,11.89000,1.00000,3.00000
1-18-15,1-15-18,12.08000,12.08000,12.08000,12.08000,1.00000,4.00000
1-18-15,1-15-18,11.98000,11.98000,11.98000,11.98000,1.00000,5.00000
1-18-15,1-15-18,12.18000,12.18000,12.18000,12.18000,1.00000,6.00000
1-18-15,1-15-18,11.77000,11.77000,11.77000,11.77000,1.00000,7.00000
1-18-15,1-15-18,11.90000,11.90000,11.90000,11.90000,1.00000,8.00000
1-18-2,1-2-18,12.06000,12.06000,12.06000,12.06000,1.00000,9.00000
0-15-2,0-6-20,23.31000,23.31000,23.40000,23.40000,0.99615,0.00000
0-6-15,0-15-20,23.44000,23.44000,23.80000,23.80000,0.98487,1.00000
0-20-2,0-15-48,23.52000,23.52000,23.59000,23.59000,0.99703,2.00000
0-32-37,0-6-15,23.48000,23.48000,23.54000,23.54000,0.99745,3.00000
0-15-8,0-8-15,23.75000,23.75000,23.75000,23.75000,1.00000,4.00000
0-6-20,0-6-20,23.71000,23.71000,23.71000,23.71000,1.00000,5.00000
0-32-48,0-15-36,23.28000,23.28000,23.81000,23.81000,0.97774,6.00000
0-15-8,0-8-15,23.57000,23.57000,23.57000,23.57000,1.00000,7.00000
0-36-8,0-8-15,23.33000,23.33000,23.69000,23.69000,0.98480,8.00000
0-20-6,0-6-8,23.63000,23.63000,23.68000,23.68000,0.99789,9.00000
1-8-37,0-1-15,34.96000,34.96000,35.24000,35.24000,0.99205,0.00000
1-15-0,0-1-15,35.46000,35.46000,35.46000,35.46000,1.00000,1.00000
1-15-37,1-15-37,35.49000,35.49000,35.49000,35.49000,1.00000,2.00000
1-15-37,1-15-37,35.53000,35.53000,35.53000,35.53000,1.00000,3.00000
1-0-15,0-1-15,35.74000,35.74000,35.74000,35.74000,1.00000,4.00000
1-0-37,0-1-37,35.39000,35.39000,35.39000,35.39000,1.00000,5.00000
1-0-15,0-1-15,35.49000,35.49000,35.49000,35.49000,1.00000,6.00000
1-15-36,1-15-36,35.66000,35.66000,35.66000,35.66000,1.00000,7.00000
1-0-15,1-15-42,35.22000,35.22000,35.23000,35.23000,0.99972,8.00000
1-0-48,0-1-48,35.13000,35.13000,35.13000,35.13000,1.00000,9.00000
0-1-15,0-1-15,35.24000,35.24000,35.24000,35.24000,1.00000,0.00000
0-1-15,0-1-15,35.66000,35.66000,35.66000,35.66000,1.00000,1.00000
1-0-15,0-1-15,35.64000,35.64000,35.64000,35.64000,1.00000,2.00000
1-0-15,1-15-48,35.34000,35.34000,35.35000,35.35000,0.99972,3.00000
1-0-15,0-1-15,35.61000,35.61000,35.61000,35.61000,1.00000,4.00000
0-1-48,0-1-48,35.41000,35.41000,35.41000,35.41000,1.00000,5.00000
0-1-37,0-1-37,35.65000,35.65000,35.65000,35.65000,1.00000,6.00000
0-1-15,0-1-15,35.23000,35.23000,35.23000,35.23000,1.00000,7.00000
1-15-37,1-15-37,35.43000,35.43000,35.43000,35.43000,1.00000,8.00000
1-0-15,0-1-15,35.49000,35.49000,35.49000,35.49000,1.00000,9.00000
0-6-15,0-15-19,34.67000,34.67000,34.76000,34.76000,0.99741,0.00000
0-1-15,0-1-15,35.01000,35.01000,35.01000,35.01000,1.00000,1.00000
0-6-37,0-1-15,34.76000,34.76000,34.94000,34.94000,0.99485,2.00000
0-37-6,0-1-15,34.92000,34.92000,35.02000,35.02000,0.99714,3.00000
0-6-42,0-1-15,35.03000,35.03000,35.12000,35.12000,0.99744,4.00000
0-15-6,0-6-15,35.26000,35.26000,35.26000,35.26000,1.00000,5.00000
0-15-6,0-6-15,35.17000,35.17000,35.17000,35.17000,1.00000,6.00000
0-48-37,0-37-48,35.05000,35.05000,35.05000,35.05000,1.00000,7.00000
0-1-15,0-1-15,35.12000,35.12000,35.12000,35.12000,1.00000,8.00000
0-6-42,0-6-42,34.84000,34.84000,34.84000,34.84000,1.00000,9.00000
0-1-42,0-37-42,35.82000,35.82000,36.25000,36.25000,0.98814,0.00000
0-1-42,0-6-48,36.03000,36.03000,36.18000,36.18000,0.99585,1.00000
0-6-37,0-6-37,36.03000,36.03000,36.03000,36.03000,1.00000,2.00000
1-0-37,0-1-37,36.28000,36.28000,36.28000,36.28000,1.00000,3.00000
0-1-37,0-1-37,36.22000,36.22000,36.22000,36.22000,1.00000,4.00000
0-1-48,0-6-48,35.95000,35.95000,36.03000,36.03000,0.99778,5.00000
1-0-48,0-36-37,36.09000,36.09000,36.17000,36.17000,0.99779,6.00000
0-1-42,0-1-42,35.79000,35.79000,35.79000,35.79000,1.00000,7.00000
0-6-37,0-6-37,36.07000,36.07000,36.07000,36.07000,1.00000,8.00000
0-1-37,0-1-37,36.04000,36.04000,36.04000,36.04000,1.00000,9.00000
0-1-15,0-1-15,34.52000,34.52000,34.52000,34.52000,1.00000,0.00000
1-37-42,1-37-42,35.05000,35.05000,35.05000,35.05000,1.00000,1.00000
0-1-15,0-1-15,34.71000,34.71000,34.71000,34.71000,1.00000,2.00000
0-1-15,0-6-15,34.79000,34.79000,34.88000,34.88000,0.99742,3.00000
0-6-31,0-6-31,34.77000,34.77000,34.77000,34.77000,1.00000,4.00000
0-6-48,0-6-48,34.81000,34.81000,34.81000,34.81000,1.00000,5.00000
1-0-15,0-1-15,34.97000,34.97000,34.97000,34.97000,1.00000,6.00000
0-1-48,0-6-15,34.37000,34.37000,34.56000,34.56000,0.99450,7.00000
0-1-15,0-1-15,34.56000,34.56000,34.56000,34.56000,1.00000,8.00000
0-1-48,0-37-48,34.47000,34.47000,34.48000,34.48000,0.99971,9.00000
0-6-15,0-1-15,35.33000,35.33000,35.47000,35.47000,0.99605,0.00000
0-37-15,0-1-15,35.35000,35.35000,35.87000,35.87000,0.98550,1.00000
1-0-37,0-6-15,35.50000,35.50000,35.58000,35.58000,0.99775,2.00000
0-6-15,1-15-48,35.65000,35.65000,35.87000,35.87000,0.99387,3.00000
1-0-15,0-15-37,35.65000,35.65000,36.16000,36.16000,0.98590,4.00000
0-37-42,0-37-42,35.88000,35.88000,35.88000,35.88000,1.00000,5.00000
0-15-1,0-1-15,35.73000,35.73000,35.73000,35.73000,1.00000,6.00000
0-6-15,0-6-15,35.49000,35.49000,35.49000,35.49000,1.00000,7.00000
