K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos
18-20-6,6-15-20,5.48,4.46,2.99,6.96,0.00,-0.01
18-6-37,37-6-2,5.25,3.99,2.75,6.49,1.00,0.00
8-6-48,48-8-37,6.58,5.87,4.86,7.64,0.00,-0.05
48-2-20,15-6-37,3.58,4.22,0.00,7.80,1.00,0.00
20-0-15,2-48-15,23.48,3.81,1.47,25.62,1.00,0.19
48-15-20,18-2-0,3.81,22.69,0.00,26.25,1.00,0.25
6-2-8,37-15-20,6.68,3.71,0.00,10.41,0.00,-0.03
48-37-8,48-6-37,5.87,3.85,2.10,7.62,0.00,-0.01
20-37-48,18-2-8,3.34,7.34,0.00,10.64,1.00,0.03
15-48-0,37-8-20,23.26,6.03,0.00,26.70,1.00,2.59
8-48-20,2-20-48,6.11,3.58,2.34,7.34,1.00,0.01
48-8-15,20-37-2,6.33,3.47,0.00,9.82,0.00,-0.02
8-2-15,15-20-8,6.45,6.50,5.25,7.71,1.00,0.01
48-20-8,18-37-8,6.13,7.11,3.82,9.41,1.00,0.02
15-6-18,2-0-15,5.72,23.36,1.48,25.18,1.00,2.42
20-15-48,20-48-8,3.81,6.10,2.34,7.58,0.00,-0.00
37-2-20,0-20-8,3.48,23.37,1.24,25.49,1.00,0.12
6-2-0,18-20-48,23.25,4.84,0.00,26.13,1.00,1.95
37-15-2,15-2-6,3.71,4.46,2.71,5.46,1.00,0.01
37-2-18,37-0-2,4.74,23.06,2.24,23.70,1.00,1.86
8-0-37,20-37-8,23.14,6.04,4.74,24.37,1.00,0.07
20-15-2,15-8-18,3.95,7.55,1.48,10.01,1.00,0.02
2-48-15,15-2-6,3.82,4.46,2.71,5.56,1.00,0.00
48-2-18,18-20-15,4.84,5.20,2.50,7.55,0.00,-0.01
6-15-18,48-20-18,5.72,4.83,2.50,8.06,0.00,-0.00
2-15-8,18-8-20,6.47,7.34,3.77,10.03,1.00,0.01
37-20-6,8-15-37,3.99,6.24,1.00,9.20,1.00,0.03
48-15-37,0-2-37,3.57,23.06,1.00,25.39,1.00,0.24
0-48-8,37-18-20,23.18,4.73,0.00,26.03,1.00,1.88
6-20-0,37-48-20,23.38,3.34,1.24,25.39,1.00,0.09
37-2-15,48-6-2,3.71,4.09,1.24,6.57,0.00,-0.01
48-20-0,15-2-0,23.21,23.37,20.96,25.61,1.00,0.01
0-2-8,0-20-48,23.24,23.21,20.95,25.52,0.00,-0.02
8-37-6,2-15-0,6.51,23.36,0.00,26.73,1.00,3.13
0-6-37,2-15-0,23.15,23.36,20.94,25.55,1.00,0.02
18-15-48,37-18-0,5.08,22.56,2.50,24.90,1.00,0.24
0-20-37,6-18-15,23.17,5.72,0.00,26.30,1.00,2.60
0-20-37,37-6-20,23.19,3.99,2.24,24.38,1.00,0.56
8-15-18,0-37-6,7.54,23.13,0.00,26.25,1.00,4.42
6-48-18,18-8-2,5.35,7.35,2.50,10.12,1.00,0.08
2-20-48-6,48-6-37-0,5.33,24.17,2.85,26.51,1.00,0.14
2-0-20-8,20-8-48-15,24.48,7.58,5.01,26.81,1.00,0.24
