K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,-0.2651
18-49-28,15-21-22,4.7363,6.3482,0,10.7939,1,0.2906,,,
20-67-1,49-93-1,24.0633,24.1029,22.7627,25.4091,0,-0.0056,,,
21-48-32,6-28-76,7.3015,5.7402,0,11.3388,1,1.7029,,,
48-49-76,21-67-8,4.2758,6.8397,0,10.2519,1,0.8636,,,
76-61-93,18-21-49,3.2793,7.1339,0,10.2564,1,0.1568,,,
18-6-37,6-8-32,6.3864,6.4261,3.2516,9.3261,1,0.2348,,,
15-37-49,1961/2/6,4.1979,5.8072,0,9.2961,1,0.709,,,
48-18-32,28-32-15,5.8717,4.6902,1.9026,8.6395,1,0.0198,,,
93-48-15,22-20-33,4.2654,3.3672,0,7.6242,1,0.0084,,,
1-20-15,6-15-1,24.1051,24.7701,23.847,25.0669,0,-0.0387,,,
2-22-61,20-22-18,4.342,4.2946,1.0966,7.2407,1,0.2993,,,
49-8-93,6-48-33,4.1179,6.2177,0,10.2186,1,0.117,,,
76-1-61,33-48-18,24.8253,4.9375,0,29.5657,1,0.1971,,,
61-48-32,2-61-48,5.0022,5.2343,3.1794,6.9245,1,0.1326,,,
2020/8/2,48-1-33,4.7951,25.5794,0,27.2642,1,3.1103,,,
2021/8/1,93-32-22,24.8839,4.0792,0,27.2465,1,1.7166,,,
2-32-67,6-67-22,4.8676,5.4552,1.1018,8.3686,1,0.8524,,,
33-67-28,1-22-49,3.6467,24.2222,0,27.6098,1,0.2591,,,
37-67-20,93-37-20,4.079,3.9096,2.9163,5.0119,1,0.0604,,,
2018/2/6,28-37-93,6.77,4.2891,0,10.578,1,0.4811,,,
49-33-67,49-21-37,3.3715,6.2534,1.234,8.656,0,-0.2651,,,
20-1-49,15-20-6,23.3495,5.7067,1.24,25.3685,1,2.4477,,,
93-20-37,49-21-93,3.9461,6.3146,1.031,8.5659,1,0.6638,,,
2021/8/15,18-2-32,7.0306,5.6608,0,11.7765,1,0.9149,,,
2-15-6,33-48-8,6.1311,4.8377,0,10.8527,1,0.1161,,,
67-32-76,22-67-37,4.0674,3.8933,1.1011,6.6964,1,0.1632,,,
8-76-6,1-93-33,6.0475,24.781,0,27.1976,1,3.6309,,,
2020/1/18,49-22-33,25.0097,3.3686,0,27.3892,1,0.9891,,,
2-33-67,93-6-61,4.1327,5.4611,0,8.9847,1,0.6091,,,
6-93-76,67-28-33,5.4837,3.6407,0,8.9671,1,0.1573,,,
67-93-28,76-49-21,3.6481,6.2578,0,9.9035,1,0.0024,,,
48-6-33,61-48-21,6.4332,7.1405,1.9594,9.6199,1,1.9944,,,
33-93-76,61-93-20,3.1451,3.5042,1.0314,5.513,1,0.1049,,,
49-15-61,15-21-20,3.7161,6.4284,1.2724,8.7153,1,0.1568,,,
2-32-6,20-21-93,5.9286,6.2815,0,10.1626,1,2.0475,,,
