K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,
200-155-927,483-724-372,4.2147,9.2156,0,13.5232,0,-0.0929,,,-1.9661
402-116-165,298-47-336,4.7474,6.2866,0,11.0428,0,-0.0088,,,
312-101-11,403-123-33,5.6743,5.4437,0,11.0744,1,0.0436,,,
407-995-59,21-7-626,3.3657,19.115,0,22.7545,0,-0.2738,,,
151-133-142,557-245-709,5.2665,3.8698,0,9.1314,1,0.0049,,,
722-430-301,382-626-203,3.3856,4.6683,0,8.0629,0,-0.009,,,
19-928-93,562-403-113,9.3883,12.2625,0,19.7802,1,1.8706,,,
19-407-436,209-265-433,4.7872,4.4266,0,9.1676,1,0.0462,,,
139-470-118,396-558-7,3.6522,4.2586,0,7.8662,1,0.0446,,,
950-913-747,608-724-266,3.4514,8.3236,0,12.5357,0,-0.7607,,,
522-142-403,7-181-183,5.2755,3.5637,0,8.824,1,0.0152,,,
21-457-1,489-214-106,168.8807,8.6548,0,176.9828,1,0.5527,,,
117-979-573,777-153-208,4.112,3.5047,0,7.6213,0,-0.0046,,,
214-362-323,950-904-595,7.611,3.2414,0,10.8347,1,0.0177,,,
555-35-818,505-61-331,8.4607,20.8758,0,24.4871,1,4.8494,,,
365-148-113,61-58-207,11.3793,22.0303,0,28.2302,1,5.1794,,,
8-520-417,950-704-155,29.3594,9.6526,0,33.5346,1,5.4774,,,
93-950-200,75-139-901,8.3419,20.8677,0,25.0372,1,4.1724,,,
47-26-236,55-338-22,5.777,22.6592,0,29.0661,0,-0.6299,,,
929-96-336,364-200-283,9.3302,3.8614,0,12.9577,1,0.2339,,,
815-393-557,902-106-101,4.1659,5.6793,0,9.8788,0,-0.0336,,,
179-112-566,5-595-913,28.1432,4.1555,0,32.4825,0,-0.1838,,,
289-312-47,595-304-379,6.7548,3.3987,0,9.224,1,0.9295,,,
58-306-15,204-317-19,13.5045,9.1316,0,21.9729,1,0.6632,,,
489-143-408,37-436-294,4.7652,9.4379,0,14.2177,0,-0.0146,,,
26-59-555,155-304-96,4.0612,4.1339,0,8.2105,0,-0.0154,,,
123-300-181,931-558-817,3.3001,4.3156,0,7.607,1,0.0087,,,
661-470-904,16-265-557,3.6638,4.8554,0,8.5435,0,-0.0243,,,
777-185-489,488-301-543,4.0239,3.4808,0,7.5127,0,-0.008,,,
86-759-421,312-5-379,4.8771,4.3657,0,9.2316,1,0.0112,,,
962-913-315,402-979-8,3.245,23.6901,0,26.3666,1,0.5685,,,
30-331-403,139-972-331,4.1286,3.7915,1.2329,6.7154,0,-0.0282,,,
116-139-76,186-493-73,4.5468,4.7141,0,9.2063,1,0.0546,,,
55-419-904,317-76-436,20.3073,10.5229,0,31.0762,0,-0.246,,,
888-403-58,353-236-233,4.4969,4.7047,0,9.1825,1,0.0191,,,
49-304-203,402-747-148,3.3325,4.4513,0,7.8192,0,-0.0354,,,
139-61-115,616-2-5,20.9524,21.1159,0,37.2603,1,4.808,,,
747-8-595,402-83-96,23.9174,3.5411,0,27.3303,1,0.1282,,,
469-519-27,180-209-724,4.9604,8.744,0,13.8328,0,-0.1284,,,
5-137-312,117-979-93,6.4644,9.437,0,15.9531,0,-0.0517,,,
26-846-93,333-979-928,9.4529,19.8184,0,24.4357,1,4.8356,,,
15-142-962,616-96-70,12.8002,3.8298,0,16.2334,1,0.3966,,,
393-488-143,70-520-116,3.8791,7.0438,0,10.9578,0,-0.0349,,,
47-294-159,164-482-338,5.5231,8.2226,0,13.408,1,0.3377,,,
180-227-185,931-118-543,3.3858,4.2702,0,7.6644,0,-0.0084,,,
239-83-382,110-846-407,5.221,3.447,0,8.5248,1,0.1432,,,
606-142-300,155-553-163,4.7886,5.2687,0,10.037,1,0.0203,,,
396-995-228,164-913-319,4.6386,7.8811,0,13.1503,0,-0.6306,,,
323-846-379,331-924-165,3.6987,5.2851,0,8.9915,0,-0.0077,,,
430-59-294,27-117-239,3.8941,4.8785,0,8.7933,0,-0.0207,,,
148-652-47,622-2-32,6.4986,25.2605,0,31.6163,1,0.1428,,,
27-764-562,155-11-901,4.8315,4.9991,0,9.8159,1,0.0147,,,
123-16-924,55-123-342,5.3572,21.6545,1.1001,25.2092,1,0.7024,,,
112-470-101,55-33-163,23.7766,22.6022,0,34.4161,1,11.9627,,,
520-15-652,512-929-11,15.2786,8.9796,0,23.4162,1,0.842,,,
372-764-611,165-304-469,3.7264,4.8931,0,8.6339,0,-0.0144,,,
30-913-82,608-75-595,3.4311,20.1465,0,23.8887,0,-0.3111,,,
159-430-76,393-818-927,4.1787,8.4676,0,12.6442,1,0.0021,,,
558-372-247,315-601-70,4.0519,4.0333,0,8.0682,1,0.017,,,
120-606-80,315-746-75,8.3071,20.6205,0,29.3592,0,-0.4316,,,
23-209-924,403-342-747,10.166,4.6696,0,14.792,1,0.0436,,,
611-417-902,497-210-558,9.4429,4.2215,0,13.8599,0,-0.1955,,,
519-333-961,520-336-393,19.241,8.3392,0,27.5589,1,0.0213,,,
342-520-417,417-82-22,13.3017,10.8684,7.7852,16.7536,0,-0.3687,,,
809-483-301,901-336-28,4.1045,10.5992,0,14.4816,1,0.2221,,,
106-402-512,407-221-75,4.8277,20.4996,0,25.4629,0,-0.1356,,,
221-135-204,300-312-164,5.0485,8.2473,0,13.1259,1,0.1699,,,
520-747-927,179-37-289,6.2958,23.4929,0,29.6199,1,0.1688,,,
136-830-16,11-505-407,6.1395,5.0232,0,11.1348,1,0.0279,,,
809-187-979,888-183-555,3.9099,3.5636,0,7.4437,1,0.0298,,,
661-6-573,652-695-301,21.1955,3.8755,0,24.807,1,0.264,,,
133-20-404,75-746-93,3.8208,22.4257,0,26.7284,0,-0.4819,,,
145-233-924,872-301-557,10.7767,3.1982,0,14.0105,0,-0.0356,,,
523-358-28,5-117-307,9.8716,4.9266,0,14.7236,1,0.0746,,,
430-7-33,185-27-126,5.0525,3.9845,0,9.029,1,0.008,,,
52-217-497,365-52-47,7.1204,5.0176,1.2377,10.9151,0,-0.0148,,,
118-400-18,358-43-635,35.2652,4.4142,0,38.5845,1,1.0949,,,
67-407-469,904-101-622,9.1121,4.7554,0,13.8247,1,0.0428,,,
106-118-543,139-256-233,4.3568,4.6461,0,9.0107,0,-0.0078,,,
315-204-961,8-80-979,3.1609,27.0691,0,31.133,0,-0.903,,,
21-626-136,145-661-924,19.7428,10.0405,0,29.3388,1,0.4445,,,
446-888-626,404-204-236,3.8473,3.4619,0,7.3077,1,0.0015,,,
904-924-523,35-115-37,3.8145,12.4052,0,15.2559,1,0.9638,,,
358-152-566,33-559-817,10.0505,4.9965,0,15.1234,0,-0.0764,,,
336-268-135,439-333-7,5.9942,17.9227,0,25.0079,0,-1.091,,,
493-39-170,143-117-266,21.948,4.6643,0,25.8717,1,0.7406,,,
489-304-123,557-21-358,3.8748,19.508,0,23.8371,0,-0.4543,,,
358-251-145,566-207-116,9.9683,8.3544,0,18.7164,0,-0.3937,,,
722-5-316,353-256-364,3.9386,3.1147,0,7.0517,1,0.0016,,,
11-746-366,603-106-306,7.8237,10.2042,0,17.1153,1,0.9126,,,
117-37-652,358-413-26,9.5604,5.4888,0,15.063,0,-0.0138,,,
995-208-221,709-818-283,3.5784,8.8308,0,12.0329,1,0.3763,,,
659-118-888,331-2-747,3.4058,20.0259,0,23.4242,1,0.0075,,,
519-362-15,298-204-747,11.9802,3.3971,0,15.5078,0,-0.1305,,,
284-11-716,979-52-319,4.9346,3.3992,0,8.3331,1,0.0007,,,
402-901-200,108-185-358,3.4497,4.2361,0,7.604,1,0.0818,,,
185-616-207,661-404-358,8.7823,4.5577,0,13.4313,0,-0.0913,,,
139-108-661,562-298-497,4.164,4.3213,0,8.4686,1,0.0167,,,
393-151-217,301-931-266,7.5048,4.6937,0,12.1812,1,0.0173,,,
101-82-746,493-241-145,5.3358,13.0779,0,17.3949,1,1.0188,,,
7-227-13,704-901-648,8.2688,8.4194,0,16.4276,1,0.2606,,,
364-338-233,110-153-228,4.3332,4.1795,0,8.5208,0,-0.0081,,,
48-338-333,555-928-233,26.3339,4.7994,0,29.867,1,1.2663,,,
136-75-709,181-830-136,21.1588,4.6685,1.8823,24.3368,0,-0.3918,,,
186-19-603,180-7-366,8.6711,6.6898,0,14.9966,1,0.3643,,,
403-221-372,621-759-221,4.6393,4.268,1.4528,7.4338,1,0.0207,,,
493-474-179,152-307-593,25.9749,9.7954,0,31.0464,1,4.7239,,,
20-159-555,15-995-163,3.4035,10.9339,0,15.189,0,-0.8516,,,
407-872-436,228-928-553,4.3282,5.0086,0,9.3222,1,0.0146,,,
315-901-365,164-474-809,3.2272,21.7992,0,25.2487,0,-0.2223,,,
204-746-294,181-294-396,4.6151,4.507,1.7641,7.3563,1,0.0017,,,
429-2-83,695-543-488,20.2109,3.424,0,23.4036,1,0.2313,,,
181-336-133,403-13-400,5.2808,9.0985,0,14.0773,1,0.302,,,
407-123-523,470-417-817,3.3758,9.8598,0,12.7233,1,0.5123,,,
566-393-6,902-559-163,21.6384,3.5292,0,24.2595,1,0.9081,,,
217-117-186,165-872-603,7.6717,9.2712,0,16.7401,1,0.2028,,,
307-469-904,566-396-59,3.85,3.7676,0,7.5952,1,0.0224,,,
2-555-301,626-304-52,20.6298,3.3079,0,23.1903,1,0.7474,,,
650-113-557,151-336-227,10.5261,4.7789,0,15.1919,1,0.1131,,,
101-165-553,413-185-559,6.8242,3.815,0,9.3422,1,1.297,,,
402-204-120,15-18-19,4.087,38.9678,0,43.614,0,-0.5592,,,
512-621-716,236-665-724,5.3526,8.0559,0,13.2622,1,0.1463,,,
153-317-595,483-635-120,8.783,4.738,0,13.6483,0,-0.1273,,,
20-358-209,436-16-407,4.7517,5.5823,0,10.3489,0,-0.0149,,,
76-396-221,497-207-217,5.0979,12.1728,0,18.1193,0,-0.8486,,,
317-709-187,233-203-724,9.1078,9.2393,0,19.0008,0,-0.6537,,,
704-608-283,408-2-47,9.2229,22.6361,0,30.8279,1,1.0311,,,
142-382-137,108-913-606,8.3709,3.6608,0,12.0216,1,0.0101,,,
872-298-123,483-245-365,3.2638,4.5936,0,7.8662,0,-0.0088,,,
648-497-7,342-13-497,3.581,9.3608,1.2465,11.4151,1,0.2802,,,
30-169-558,358-16-101,10.3133,6.815,0,16.9457,1,0.1826,,,
115-214-175,601-659-470,12.4058,3.4411,0,15.5775,1,0.2694,,,
362-553-75,635-489-118,21.2947,4.2283,0,25.4651,1,0.0579,,,
759-113-929,70-704-187,13.8069,8.9856,0,22.0643,1,0.7282,,,
5-300-113,19-8-179,11.032,29.3817,0,36.1862,1,4.2275,,,
294-362-469,319-135-421,4.5674,6.1254,0,10.7016,0,-0.0088,,,
470-181-28,611-929-137,8.8856,10.3784,0,18.2524,1,1.0116,,,
635-331-307,830-555-665,3.697,4.069,0,7.7825,0,-0.0165,,,
200-312-13,175-208-227,8.4124,3.4707,0,12.1249,0,-0.2418,,,
304-207-20,888-336-96,8.788,4.606,0,13.1111,1,0.2829,,,
175-888-294,317-928-315,4.0844,8.7846,0,12.8796,0,-0.0106,,,
180-608-557,30-430-21,3.4581,18.9345,0,22.9737,0,-0.5811,,,
413-123-26,902-901-115,4.5967,8.103,0,12.5499,1,0.1498,,,
175-153-181,163-209-27,3.5091,4.7592,0,8.2548,1,0.0135,,,
566-187-747,135-5-888,3.7321,5.432,0,9.1943,0,-0.0302,,,
365-135-361,483-747-207,4.7191,9.6225,0,14.2999,1,0.0417,,,
165-304-557,704-601-145,4.4194,13.946,0,18.3736,0,-0.0082,,,
408-28-86,106-26-543,10.3283,4.8932,0,15.2311,0,-0.0096,,,
558-716-316,115-108-616,4.1311,8.5627,0,12.6259,1,0.0679,,,
396-523-221,123-30-61,4.1774,19.2877,0,23.2561,1,0.209,,,
364-317-312,33-553-266,8.7836,6.4232,0,15.1345,1,0.0723,,,
203-58-227,55-361-846,3.9863,21.1148,0,24.7372,1,0.3639,,,
241-294-366,950-809-777,11.3353,3.3292,0,14.6748,0,-0.0103,,,
301-593-616,505-13-155,3.2777,10.112,0,13.2488,1,0.1409,,,
648-543-979,469-603-512,3.4299,9.6699,0,12.6359,1,0.4639,,,
408-323-818,379-661-104,9.4262,3.8934,0,12.6895,1,0.6301,,,
353-123-488,603-70-557,3.3025,8.5424,0,12.1243,0,-0.2794,,,
118-268-170,186-648-304,20.914,3.3006,0,24.2336,0,-0.019,,,
436-995-606,82-204-709,4.303,3.161,0,7.4922,0,-0.0282,,,
283-336-214,106-256-809,9.292,4.1392,0,13.4363,0,-0.0051,,,
928-73-30,110-528-366,4.9208,6.4559,0,11.3665,1,0.0102,,,
170-433-7,913-553-403,21.4789,4.7996,0,27.0802,0,-0.8017,,,
239-446-358,635-557-317,5.0512,8.7886,0,13.9235,0,-0.0837,,,
562-421-21,872-695-73,21.8122,4.5251,0,25.4856,1,0.8517,,,
950-108-27,75-33-695,4.1503,21.7145,0,25.4223,1,0.4425,,,
659-928-209,83-67-179,4.079,26.9293,0,30.964,1,0.0443,,,
558-704-379,19-404-482,8.1833,3.5753,0,12.2547,0,-0.4961,,,
294-47-11,601-213-961,6.2431,3.3017,0,9.544,1,0.0008,,,
317-888-608,421-148-846,8.7468,5.731,0,14.4912,0,-0.0134,,,
120-429-126,818-372-159,4.236,8.6472,0,12.8707,1,0.0125,,,
228-284-601,764-2-213,4.3471,19.8324,0,24.4681,0,-0.2886,,,
113-722-818,82-294-379,14.5097,4.0266,0,18.3957,1,0.1406,,,
123-136-135,239-112-553,5.5064,23.3282,0,28.7223,1,0.1123,,,
