greedy_ans,greedy_value,greedy_time,strict_ans,strict_value,strict_time
[1 2 18],7.054,97.7404ms,[1 18 22],7.082,9.5438924s
[1 15 18],10.027,47.1394ms,[1 15 18],10.027,2.5274981s
[1 18 20],8.224,69.8225ms,[1 2 18],8.251,8.0019726s
[1 15 18],10.928,56.6718ms,[1 15 18],10.928,3.2329675s
[2 18 28],9.381,79.7256ms,[2 18 28],9.381,8.6312155s
[1 18 48],7.15,40.3654ms,[1 15 48],7.42,2.0680933s
[1 22 28],14.086,72.279ms,[1 18 22],14.355,8.0779638s
[2 15 18],9.584,29.7521ms,[1 15 18],9.709,1.8712705s
[1 18 33],19.807,93.6904ms,[1 18 22],19.94,9.3939621s
[1 15 20],5.662,38.342ms,[1 15 20],5.662,2.5631033s
[1 15 18],12.685,122.3842ms,[1 15 18],12.685,14.3582824s
[1 15 18],10.612,38.1446ms,[1 15 18],10.612,2.507321s
[2 18 32],8.634,85.0604ms,[1 2 18],8.791,8.3056613s
[1 15 18],9.184,37.5796ms,[2 6 18],9.261,1.9278753s
[1 2 15],7.3,133.4582ms,[1 2 15],7.3,10.1328185s
[1 15 18],7.218,56.9498ms,[1 15 18],7.218,2.6706158s
[1 15 48],9.749,77.0496ms,[1 15 22],10.023,8.6251445s
[1 15 18],9.893,54.5941ms,[1 15 18],9.893,2.596709s
[1 18 33],11.481,106.5553ms,[1 15 18],12.078,11.6615547s
[1 8 20],5.473,47.9883ms,[1 2 20],5.579,2.7268506s
