seed,アリの解,アリの解2,アリを無し,無しの解,無しをアリ,無しをアリ2
0,9.2180,13.7620,9.4040,9.3640,8.4140,13.4670
0,17.2980,13.6090,17.8680,18.0590,17.1330,13.4420
0,25.8590,13.5260,26.4650,26.6950,25.3920,13.3470
0,34.5060,13.6670,35.1640,33.5030,31.9490,13.2850
0,42.6590,13.6520,43.2820,42.0740,40.0530,13.4340
0,50.8000,13.3080,51.3560,49.4240,46.7480,13.1150
0,57.0850,13.4130,58.1660,56.8830,53.8650,13.2030
0,64.0300,13.3360,64.4740,65.8860,63.3570,13.1540
0,71.7250,13.2370,72.8290,74.1210,70.8820,12.8170
1,9.0110,17.6060,9.3370,9.0890,8.1630,18.0930
1,17.9490,17.9210,17.8740,17.9590,17.4880,17.7320
1,26.5210,17.9900,26.8830,26.9020,25.5590,17.7060
1,35.2760,17.9190,36.0260,35.4260,32.7730,17.5050
1,42.4240,17.7570,43.9810,43.1380,40.7730,17.5880
1,50.7120,17.3840,50.7400,51.3690,48.8800,16.8280
1,58.5230,17.6950,58.9670,58.8120,55.7770,17.1860
1,65.8020,17.9720,66.6510,66.8000,63.6200,17.3020
1,72.5140,17.4020,72.8650,74.8360,71.2930,17.4690
2,9.7490,27.4140,9.8790,9.9660,9.5790,27.1720
2,17.9590,27.4290,17.8820,18.6250,17.7400,26.5760
2,26.3760,27.0650,26.9140,27.7860,26.7130,26.8510
2,34.2060,26.9820,35.2050,35.6170,34.9600,26.8430
2,41.9150,27.2700,42.2120,44.2590,42.5720,25.7880
2,50.2020,26.9740,50.5390,52.4740,50.8110,25.9740
2,57.4970,27.1900,57.6740,59.3570,57.2410,25.3030
2,64.3120,27.2770,64.7350,66.1980,64.2500,26.2770
2,72.8500,27.0330,73.5970,73.8810,71.8370,24.9000
3,8.9990,13.9700,8.9490,9.1670,8.4860,14.3160
3,17.6390,14.2260,17.5790,18.1030,17.5300,13.8510
3,25.6120,14.0960,26.0010,26.1090,25.6690,14.0410
3,33.3710,14.2640,34.2890,34.0590,33.3100,14.1180
3,40.2030,13.8250,40.9390,41.8750,40.9980,14.4680
3,47.9740,13.7550,48.5700,49.5470,48.3840,14.1560
3,56.0700,13.7020,56.7700,57.9870,56.6590,14.0520
3,63.4280,13.6810,64.5410,65.1400,64.6620,13.5150
3,71.2390,13.8870,72.7320,73.0890,71.4880,13.7380
4,8.6870,15.3050,8.8840,9.1970,8.4260,15.4930
4,17.4870,15.8220,17.5140,18.2700,17.0580,15.4320
4,24.8850,15.5770,24.7900,27.0050,25.7710,15.2530
4,33.9780,15.4290,34.3320,34.6330,33.4710,15.3360
4,41.5510,15.0680,42.0100,42.8470,41.1730,15.1030
4,49.3530,15.4980,50.3820,51.4520,48.9170,14.6780
4,57.5440,15.2140,58.2730,59.3340,57.0450,14.5260
4,64.8440,15.3050,65.8230,67.8190,64.8120,14.8400
4,71.2270,15.0380,71.6610,74.2390,71.1010,14.4660
5,9.2510,17.4900,9.5130,9.9780,9.7780,17.2890
5,18.2270,17.3760,18.6460,17.5680,17.1180,17.0900
5,27.0560,17.2510,27.2410,27.2780,25.8770,17.4910
5,35.2550,17.5220,35.3240,35.1540,34.2800,17.0710
5,43.5880,17.3710,43.9720,42.2390,41.3300,17.3340
5,51.8500,16.9620,52.3200,51.4090,49.5560,16.9050
5,60.1100,17.4710,60.5160,60.1300,58.0690,16.5690
5,67.6040,17.1650,68.4100,67.2800,65.0370,16.6040
5,74.7830,17.5830,75.4400,73.6620,71.6460,16.3770
6,8.9980,28.7540,9.1940,9.0620,8.4500,28.0620
6,17.9340,29.1100,18.3590,17.4840,16.0000,28.0580
6,26.5240,29.0220,27.1480,26.0400,24.5130,28.1410
6,34.0180,29.0030,34.9490,35.0860,32.7350,27.6050
6,41.3730,28.7760,41.7540,43.2980,40.7120,27.8480
6,47.9120,28.7380,49.2640,49.2210,47.5180,27.7110
6,57.5150,28.7200,58.7340,58.5570,56.2130,27.8950
6,65.3630,28.4760,66.1860,65.8160,64.2550,27.9630
6,72.8130,28.7770,73.9710,73.4440,71.1360,27.9470
7,8.8830,18.9540,8.5540,9.3070,8.8600,18.7640
7,17.8480,18.7090,18.0000,18.3170,17.5500,18.5380
7,26.5730,18.5920,26.6760,26.9480,25.0960,18.0600
7,33.6600,19.0890,34.2470,35.1060,33.5560,18.1500
7,41.3090,18.6630,41.9540,42.2630,40.4720,18.1930
7,48.8200,18.7700,49.1840,49.1890,47.6970,18.0080
7,56.6310,18.2670,57.5500,56.3700,54.6490,17.6880
7,63.9290,18.5320,64.9990,64.2300,62.5260,17.8460
7,71.7200,18.4740,72.6750,72.2920,70.1430,17.7400
8,9.4650,19.1640,9.5860,9.6960,9.0650,18.3520
8,18.1650,18.6160,18.5570,19.0710,18.1490,18.1690
8,27.2830,18.6070,27.6080,27.1370,25.8900,18.4530
8,35.0650,18.6310,35.7380,35.6430,34.1400,18.1970
8,41.7860,18.4870,42.1080,43.5530,42.4340,18.0550
8,49.6850,18.6760,50.2080,51.5280,49.2810,17.6520
8,57.3570,18.4600,57.4050,60.2160,57.2890,17.2910
8,65.2530,18.6030,66.2740,68.9250,65.7530,17.1850
8,72.7960,18.3070,73.7600,77.2940,73.4480,17.1780

