seed,ƒAƒŠ‚Ì‰ð,ƒAƒŠ‚ð–³‚µ,–³‚µ‚Ì‰ð,–³‚µ‚ðƒAƒŠ
0,17.155,58.093,97.488,9.274
0,69.555,211.07,212.967,36.41
0,97.554,227.447,232.539,73.704
0,107.536,231.771,233.026,107.02
0,141.42,249.493,250.183,140.91
0,142.796,249.999,252.269,144.753
1,43.903,114.68,129.578,22.412
1,117.063,233.593,234.842,116.915
1,152.086,247.48,245.928,151.572
1,171.72,251.959,249.41,148.263
1,202.008,260.256,255.009,176.602
1,205.146,260.701,259.856,190.3
2,28.07,115.923,123.63,16.641
2,91.572,247.365,248.662,86.845
2,129.529,259.699,258.678,103.727
2,148.035,263.919,260.769,119.601
2,180.635,271.088,270.969,171.559
2,185.786,273.33,271.562,173.867
3,27.965,85.423,111.353,27.28
3,104.115,223.282,225.307,100.384
3,144.867,238.922,238.922,144.867
3,160.576,242.994,241.476,154.392
3,182.954,248.019,248.229,180.832
3,195.239,255.446,250.236,179.869
4,22.205,96.308,88.776,14.486
4,81.656,216.829,212.267,45.096
4,97.298,224.028,240.58,90.256
4,112.12,228.369,243.435,90.12
4,145.268,252.877,249.761,123.749
4,147.081,253.05,252.336,151.207
5,25.576,123.049,123.99,24.491
5,82.903,217.817,225.178,68.858
5,121.183,236.103,233.818,116.084
5,145.008,238.144,237.119,146.179
5,185.367,239.045,238.978,143.682
5,205.025,242.068,239.088,174.073
6,15.479,44.265,69.387,23.415
6,66.329,196.906,197.474,69.7
6,96.124,223.248,219.9,103.332
6,111.322,236.807,236.548,128.573
6,165.318,252.727,249.289,171.023
6,191.868,256.278,254.702,187.068
7,28.07,115.923,123.63,16.641
7,91.572,247.365,248.662,86.845
7,129.529,259.699,258.678,103.727
7,148.035,263.919,260.769,119.601
7,180.635,271.088,270.969,171.559
7,185.786,273.33,271.562,173.867
8,27.965,85.423,111.353,27.28
8,104.115,223.282,225.307,100.384
8,144.867,238.922,238.922,144.867
8,160.576,242.994,241.476,154.392
8,182.954,248.019,248.229,180.832
8,195.239,255.446,250.236,179.869
9,38.453,100.665,123.755,13.148
9,84.134,218.342,220.483,80.22
9,125.071,234.248,229.47,132.402
9,139.845,245.18,241.8,146.635
9,169.292,248.715,249.273,170.049
9,192.392,250.126,250.159,194.8
10,25.022,67.928,69.188,24.371
10,82.897,213.457,216.691,76.934
10,122.05,231.077,232.37,117.491
10,141.202,237.734,236.671,150.31
10,185.93,241.833,240.738,186.33
10,196.037,245.107,242.873,198.406
