seed,ƒAƒŠ‚Ì‰ð,ƒAƒŠ‚ð–³‚µ,–³‚µ‚Ì‰ð,–³‚µ‚ðƒAƒŠ
0,94.479,225.15,225.15,94.479
0,140.096,248.578,248.578,140.096
0,165.158,255.154,255.154,165.158
0,176.146,260.874,264.075,178.237
0,191.969,265.495,269.236,188.931
0,200.97,271.771,274.069,194.48
1,147.132,244.063,242.88,129.649
1,199.607,259.069,252.177,169.453
1,218.029,266.148,265.747,220.304
1,230.911,273.383,271.803,232.096
1,240.256,278.351,276.584,242.153
1,249.14,279.181,279.302,246.703
2,128.116,258.784,256.887,94.556
2,179.264,269.436,265.601,163.84
2,202.556,275.584,275.222,189.847
2,217.091,280.169,283.161,219.103
2,228.389,283.883,285.317,230.147
2,237.483,286.991,289.466,234.431
3,141.644,236.875,236.875,141.644
3,187.997,250.455,250.455,187.997
3,206.802,257.475,256.06,202.64
3,219.091,263.728,263.003,218.582
3,235.22,270.485,271.097,234.712
3,245.19,277.433,275.594,242.933
4,97.301,222.48,237.37,70.552
4,139.694,248.163,252.968,112.227
4,169.062,257.756,262.577,163.106
4,188.929,262.832,269.964,191.656
4,202.779,270.277,274.618,200.743
4,213.985,275.643,280.074,213.328
5,113.646,234.225,234.225,113.646
5,173.928,251.67,251.67,173.928
5,195.926,258.5,260.587,196.723
5,209.836,266.476,271.088,208.312
5,223.658,272.159,276.175,217.881
5,234.713,276.43,281.219,231.719
