seed,アリの解,アリを無し,無しの解,無しをアリ
0,94.47899999999971,225.14999999999984,225.14999999999984,94.47899999999971
0,140.09600000000012,248.5779999999999,248.5779999999999,140.09600000000012
0,165.15800000000004,255.1539999999999,255.1539999999999,165.15800000000004
0,176.14599999999984,260.8739999999999,264.07499999999993,178.23700000000005
0,191.96900000000005,265.495,269.23599999999954,188.93099999999995
0,200.97000000000003,271.7709999999998,274.06899999999996,194.47999999999988
1,147.1320000000002,244.0629999999994,242.88,129.649
1,199.607,259.069,252.1769999999997,169.4530000000001
1,218.02900000000022,266.1479999999997,265.74699999999945,220.30400000000023
1,230.91099999999997,273.3829999999997,271.8029999999998,232.09600000000023
1,240.25600000000003,278.3509999999997,276.5839999999998,242.153
1,249.1399999999999,279.18099999999936,279.30199999999974,246.70299999999975
2,128.11600000000007,258.78400000000005,256.8869999999997,94.55599999999991
2,179.2640000000004,269.4359999999993,265.6010000000001,163.83999999999992
2,202.55600000000013,275.5839999999996,275.22200000000004,189.84700000000012
2,217.0910000000004,280.16899999999936,283.1609999999994,219.10300000000018
2,228.38899999999992,283.8829999999997,285.317,230.147
2,237.4830000000001,286.9910000000001,289.466,234.4310000000002
3,141.64399999999998,236.87499999999997,236.87499999999997,141.64399999999998
3,187.99700000000044,250.45499999999979,250.45499999999979,187.99700000000044
3,206.80200000000005,257.4749999999998,256.06,202.63999999999965
3,219.09099999999967,263.7280000000001,263.0029999999999,218.58200000000005
3,235.22000000000023,270.4849999999995,271.0969999999998,234.71200000000022
3,245.1900000000001,277.43299999999965,275.5939999999992,242.9330000000001
4,97.30099999999972,222.48000000000002,237.3700000000003,70.5519999999999
4,139.69400000000033,248.16300000000004,252.96799999999973,112.22699999999998
4,169.06200000000015,257.7559999999995,262.5769999999996,163.1060000000002
4,188.92900000000014,262.83199999999994,269.9639999999997,191.656
4,202.77900000000028,270.2769999999996,274.6179999999994,200.7429999999999
4,213.98500000000024,275.6429999999994,280.07399999999967,213.32800000000032
5,94.67300000000024,226.0349999999994,226.0349999999994,94.67300000000024
5,138.61000000000046,244.23099999999936,244.23099999999936,138.61000000000046
5,168.46400000000033,252.87899999999958,252.87899999999958,168.46400000000033
5,183.5270000000005,258.67699999999966,258.67699999999966,183.5270000000005
5,197.6200000000002,263.9579999999996,263.9579999999996,197.6200000000002
5,207.48300000000016,269.4130000000001,269.4130000000001,207.48300000000016
6,97.57199999999996,238.49899999999984,238.49899999999984,97.57199999999996
6,140.29700000000035,249.57999999999982,249.57999999999982,140.29700000000035
6,160.3649999999999,257.17999999999995,257.17999999999995,160.3649999999999
6,171.50499999999976,263.4300000000002,263.4300000000002,171.50499999999976
6,182.13899999999968,269.5350000000001,269.5350000000001,182.13899999999968
6,191.7130000000001,274.2639999999999,274.2639999999999,191.7130000000001
7,128.11600000000007,258.78400000000005,256.8869999999997,94.55599999999991
7,179.2640000000004,269.4359999999993,265.6010000000001,163.83999999999992
7,202.55600000000013,275.5839999999996,275.22200000000004,189.84700000000012
7,217.0910000000004,280.16899999999936,283.1609999999994,219.10300000000018
7,228.38899999999992,283.8829999999997,285.317,230.147
7,237.4830000000001,286.9910000000001,289.466,234.4310000000002
8,141.64399999999998,236.87499999999997,236.87499999999997,141.64399999999998
8,187.99700000000044,250.45499999999979,250.45499999999979,187.99700000000044
8,206.80200000000005,257.4749999999998,256.06,202.63999999999965
8,219.09099999999967,263.7280000000001,263.0029999999999,218.58200000000005
8,235.22000000000023,270.4849999999995,271.0969999999998,234.71200000000022
8,245.1900000000001,277.43299999999965,275.5939999999992,242.9330000000001
9,86.06199999999977,236.05500000000004,236.05500000000004,86.06199999999977
9,134.80499999999995,255.97300000000025,255.97300000000025,134.80499999999995
9,166.6079999999999,265.4980000000005,265.4980000000005,166.6079999999999
9,184.7280000000003,272.5359999999996,272.5359999999996,184.7280000000003
9,197.0120000000002,278.6120000000001,278.6120000000001,197.0120000000002
9,209.2840000000001,283.8379999999994,283.8379999999994,209.2840000000001
10,87.85399999999971,238.87499999999983,238.87499999999983,87.85399999999971
10,136.60599999999988,256.0129999999999,256.0129999999999,136.60599999999988
10,169.5880000000004,266.8539999999996,266.8539999999996,169.5880000000004
10,188.0629999999999,274.02400000000004,274.02400000000004,188.0629999999999
10,199.46900000000024,280.2489999999998,280.2489999999998,199.46900000000024
10,210.1360000000003,284.3380000000003,284.3380000000003,210.1360000000003

