seed,ƒAƒŠ‚Ì‰ð,ƒAƒŠ‚ð–³‚µ,–³‚µ‚Ì‰ð,–³‚µ‚ðƒAƒŠ
0,14.857,87.112,93.942,15.851
0,42.675,176.598,152.264,22.37
0,101.314,230.388,217.88,64.863
0,109.761,233.714,222.471,72.863
0,146.425,253.466,226.103,79.117
0,150.001,254.518,239.035,106.376
1,27.927,97.353,85.568,22.769
1,43.357,155.132,143.065,40.314
1,152.108,247.732,187.491,56.957
1,162.411,249.026,204.201,75.475
1,195.475,259.265,219.276,85.987
1,201.291,259.457,237.222,111.831
2,21.406,93.073,94.995,15.989
2,37.278,180.824,179.355,33.254
2,131.854,260.527,216.145,52.62
2,136.971,262.402,233.732,64.447
2,156.7,263.668,243.144,70.083
2,166.709,267.92,249.024,80.539
3,24.382,98.526,93.08,22.798
3,47.945,178.68,147.673,38.897
3,148.266,240.107,177.907,53.763
3,155.376,242.619,204.266,71.985
3,187.519,250.842,244.789,162.934
3,190.863,253.485,247.3,166.825
4,19.799,91.609,93.516,17.277
4,56.221,199.187,144.099,29.03
4,80.984,219.363,186.805,41.034
4,87.874,220.186,198.214,54.105
4,133.521,247.978,217.031,59.222
4,142.292,248.966,248.343,108.532
5,20.054,90.226,95.747,18.067
5,51.609,185.778,153.386,30.799
